id,company,robot,country,website,x,linkedin,youtube,careers,b2b_client,stock,valuation,investors,rounds,release,height_cm,weight_kg,walk_kmh,run_kmh,payload_kg,power_hours,software,voice,clothed
switch-onero-h1,Switch,Onero H1,Japan,https://eu.switch-bot.com/,,,,,,Private,,,,,174,68,,,,,,,No
tangible-eggie,Tangible,Eggie,USA,https://tangiblerobots.ai/,https://x.com/tangiblerobots,,,,,Private,,,,,150,45,,,,,,,Yes
tesla-optimus-gen-2,Tesla,Optimus Gen 2,USA,https://archive.md/mEWsJ,https://x.com/Tesla_Optimus,https://www.linkedin.com/company/tesla-motors/,https://www.youtube.com/watch?v=fPeGPf7jvEQ,,,445.27,"1,672,311,225,480.00",,,2023,173,47,8,8,20.4,,Tesla end-to-end AI; neural network autonomy,,No
the-humanoid-hmnd-01,The Humanoid,HMND 01,UK,https://thehumanoid.ai/,https://x.com/thehumanoidai,https://www.linkedin.com/company/humanoidai/,https://www.youtube.com/@TheHumanoidAI,https://thehumanoid.ai/careers/,,Private,,,,2025,175,70,5.4,5.4,15,4,KinetIQ VLM/VLA framework,,No
ti5robot-t230a,Ti5robot,T230A,,https://www.ti5robot.com/en/,,,,,,Private,,,,,,,,,,,,,
tokyo-torobo,Tokyo,Torobo,Japan,https://robotics.tokyo/,https://x.com/Tokyo_Robotics,https://www.linkedin.com/company/tokyo-robotics/,,,,Private,,,"1,760,889.00",,,,,,,,,,
ubtech-walker-s1,Ubtech,Walker S1,China,https://www.ubtrobot.com/,https://x.com/UBTECHRobotics,https://www.linkedin.com/company/ubtech-robotics/,https://www.youtube.com/watch?v=UBbk18oZbTc,,Foxconn,HKG:9880,,,,,172,76,,,,,,,No
unitree-h1,Unitree,H1,China,https://www.unitree.com/en/h1/,https://x.com/UnitreeRobotics,https://www.linkedin.com/company/unitreerobotics/,https://youtu.be/GtPs_ygfaEA,,,Private,,,,2023,180,47,5.4,18,30,1.5,NVIDIA Jetson Orin / Unitree SDK; LiDAR + depth camera,,No
unix-wanda,UniX,Wanda,,https://www.unix-group.ai,,,,,,Private,,,,,,,,,,,,,
vanar-generation-1,Vanar,Generation 1,,http://vanarrobots.com/,https://x.com/vanar_robots,,,,,Private,,,,,,,,,,,,,
vinmotion-motion,VinMotion,Motion,Vietnam,https://vinmotion.net/,https://x.com/VinMotionGlobal,,,,,Private,,,,2025,,,,,,,,,No
wandercraft-calvin,Wandercraft,Calvin,,https://en.wandercraft.eu/,https://x.com/exowandercraft,https://www.linkedin.com/company/wandercraft/,,,,Private,,,,,,,,,,,,,
weave-isaac,Weave,Isaac,,https://www.weaverobotics.com/,,,,,,Private,,,,,,,,,,,,,
westwood-themis,Westwood,Themis,USA,https://www.westwoodrobotics.io/,,https://www.linkedin.com/company/westwoodrobotics/,https://www.youtube.com/watch?v=svRRhsFKflE,,,Private,,,,2025,160,36,,,,,,,No
wirobotics-allex,Wirobotics,Allex,South Korea,https://www.wirobotics.com/,,,,,,Private,,,,,,,,,,,,,No
x-square-quanta-x2,X Square,Quanta X2,China,https://www.x2robot.com/en,,,,,"Household, hotel and light industrial stations",Private,,,,2025,172,95,3.6,3.6,6,,X² Brain / WALL-OSS; 10B+ parameter embodied model,,No
xiaomi-cyber-one,Xiaomi,Cyber One,China,https://www.mi.com/global/discover/article?id=2754,https://x.com/Xiaomi,,https://www.youtube.com/watch?v=I28Q9czUx2Q,,"R&D, perception, human-robot interaction prototype",HKG:1810,,,,2022,177,52,3.6,3.6,1.5,,Mi-Sense vision; Xiaomi AI interaction algorithms,,
fauna-sprout,Fauna,Sprout,USA,https://faunarobotics.com/,https://x.com/faunarobotics,https://www.linkedin.com/company/fauna-robotics/,https://www.youtube.com/@FaunaRobotics,,,Private,,Amazon,,,,,,,,,,,
xpeng-iron,Xpeng,Iron,China,https://www.pxing.com/en/index,https://x.com/XpengR,https://www.linkedin.com/company/xpengmotorsglobal/,https://www.youtube.com/watch?v=BNSZ8Fwcd20,,,NYSE:XPEV,,,,2024,178,70,,,,,,,No
addverb-elixis,Addverb,Elixis,India,https://addverb.ai/elixis,https://x.com/Addverb_Tech,,,,"Repetitive, dull and hazardous work",Private,,,,2025,175,75,3.6,3.6,5,1-1.5,"MPC + reinforcement learning; stereo depth, 3D LiDAR, IMU",,
faraday-future-ff-futurist,Faraday Future,FF Futurist,USA,https://robotics.ff.com/us/ff-futurist/,,,,,,NASDAQ:FFIE,,,,,,,,,,,,,No
peritas-peri,Peritas,Peri,,https://www.peritas.ai/,,,,,,Private,,,,,,,,,,,,,
sudo-r1,Sudo,R1,,https://www.sudo.ai/,,,,,,Private,,,,,,,,,,,,,
kinetix-kaibot,Kinetix,Kaibot,,https://www.kinetixai.tech/en,,,,,,Private,,,,,,,,,,,,,
integrarobot-resource,Integrarobot,Resource,Spain,https://www.integrarobot.com,,,,,,Private,,,,,,,,,,,,,
